AssociationName,Period,PeriodError,LocalSignificance,GlobalSignificance,4FGLSourceName,API_Link_LCR
OC457,1.79,0.22,4.8,3.3,J0137.0+4751*,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J0137.0%2B4751&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
PKS0405-385,3.01,0.43,4.8,3.3,J0407.0-3826,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J0407.0-3826&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
PKS0426-380,3.51,0.49,4.8,3.3,J0428.6-3756,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J0428.6-3756&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
PKS0454-234,3.57,0.43,4.8,3.3,J0457.0-2324,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J0457.0-2324&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
S30458-02,1.00,0.04,4.8,3.3,J0501.2-0158,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J0501.2-0158&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
TXS0518+211,2.83,0.38,4.8,3.3,J0521.7+2112,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J0521.7%2B2112&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
PKS0524-485,2.07,0.20,4.8,3.3,J0526.2-4830*,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J0526.2-4830&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
OJ014,4.65,0.89,4.8,3.3,J0811.4+0146,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J0811.4%2B0146&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
PKS1005-333,2.61,0.34,4.8,3.3,J1007.6-3332*,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J1007.6-3332&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
S51044+71,3.05,0.44,4.8,3.3,J1048.4+7143,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J1048.4%2B7143&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
S41144+40,3.31,0.50,4.8,3.3,J1146.9+3958,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J1146.9%2B3958&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
B21520+31,3.37,0.56,4.8,3.3,J1522.1+3144,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J1522.1%2B3144&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
TXS1530-131,1.37,0.07,4.8,3.3,J1532.7-1319*,https://fermi.gsfc.nasa.gov/ssc/data/access/lat/LightCurveRepository/queryDB.php?typeOfRequest=lightCurveData&source_name=4FGL%20J1532.7-1319&cadence=monthly&flux_type=photon&index_type=fixed&ts_min=4
